Iteration 160000, loss = 0.242, ber = 0.00983
Iteration 161000, loss = 0.249, ber = 0.01007
Iteration 162000, loss = 0.252, ber = 0.01023
Iteration 163000, loss = 0.243, ber = 0.00979
Iteration 164000, loss = 0.242, ber = 0.00971
Iteration 165000, loss = 0.240, ber = 0.00967
Iteration 166000, loss = 0.245, ber = 0.00988
Iteration 167000, loss = 0.242, ber = 0.00964
Iteration 168000, loss = 0.248, ber = 0.01008
Iteration 169000, loss = 0.247, ber = 0.00980
Iteration 170000, loss = 0.255, ber = 0.01032
Iteration 171000, loss = 0.247, ber = 0.01002
Iteration 172000, loss = 0.245, ber = 0.00980
Iteration 173000, loss = 0.243, ber = 0.00976
Iteration 174000, loss = 0.251, ber = 0.01020
Iteration 175000, loss = 0.243, ber = 0.00967
Iteration 176000, loss = 0.240, ber = 0.00973
Iteration 177000, loss = 0.243, ber = 0.00976
Iteration 178000, loss = 0.252, ber = 0.01023
Iteration 179000, loss = 0.244, ber = 0.00980
Iteration 180000, loss = 0.246, ber = 0.01009
Iteration 181000, loss = 0.246, ber = 0.00995
Iteration 182000, loss = 0.250, ber = 0.01017
Iteration 183000, loss = 0.248, ber = 0.00996
Iteration 184000, loss = 0.245, ber = 0.01003
Iteration 185000, loss = 0.254, ber = 0.01021
Iteration 186000, loss = 0.250, ber = 0.01007
Iteration 187000, loss = 0.242, ber = 0.00989
Iteration 188000, loss = 0.242, ber = 0.00971
Iteration 189000, loss = 0.246, ber = 0.00995
Iteration 190000, loss = 0.245, ber = 0.00983
Iteration 191000, loss = 0.249, ber = 0.01010
Iteration 192000, loss = 0.244, ber = 0.00996
Iteration 193000, loss = 0.248, ber = 0.00998
Iteration 194000, loss = 0.256, ber = 0.01035
Iteration 195000, loss = 0.244, ber = 0.00991
Iteration 196000, loss = 0.254, ber = 0.01047
Iteration 197000, loss = 0.239, ber = 0.00974
Iteration 198000, loss = 0.248, ber = 0.01016
Iteration 199000, loss = 0.241, ber = 0.00976
Iteration 200000, loss = 0.255, ber = 0.01046
Iteration 201000, loss = 0.251, ber = 0.01010
Iteration 202000, loss = 0.248, ber = 0.01007
Iteration 203000, loss = 0.248, ber = 0.01013
Iteration 204000, loss = 0.239, ber = 0.00961
Iteration 205000, loss = 0.235, ber = 0.00927
Iteration 206000, loss = 0.248, ber = 0.01008
Iteration 207000, loss = 0.238, ber = 0.00969
Iteration 208000, loss = 0.237, ber = 0.00962
Iteration 209000, loss = 0.244, ber = 0.00981
Iteration 210000, loss = 0.233, ber = 0.00937
Iteration 211000, loss = 0.254, ber = 0.01036
Iteration 212000, loss = 0.245, ber = 0.00996
